,MonthlyCharges,Churn,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,29.85,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,56.95,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2,53.85,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
3,42.3,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
4,70.7,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
5,99.65,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
6,89.1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
7,29.75,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
8,104.8,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
9,56.15,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
10,49.95,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
11,18.95,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
12,100.35,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
13,103.7,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
14,105.5,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
15,113.25,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
16,20.65,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
17,106.7,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0
18,55.2,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
19,90.05,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
20,39.65,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
21,19.8,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
22,20.15,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
23,59.9,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
24,59.6,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0
25,55.3,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
26,99.35,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
27,30.2,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
28,90.25,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
29,64.7,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
30,96.35,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
31,95.5,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
32,66.15,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
33,20.2,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0
34,45.25,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
35,99.9,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0
36,69.7,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
37,74.8,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
38,106.35,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
39,97.85,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
40,49.55,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
41,69.2,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
42,20.75,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
43,79.85,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
44,76.2,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
45,84.5,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
46,49.25,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
47,80.65,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
48,79.75,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
49,64.15,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
50,90.25,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
51,99.1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
52,69.5,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
53,80.65,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
54,74.85,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
55,95.45,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
56,99.65,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
57,108.45,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
58,24.95,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
59,107.5,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
60,100.5,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
61,89.9,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
62,42.1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
63,54.4,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
64,94.4,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
65,75.3,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
66,78.9,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
67,79.2,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
68,20.15,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
69,79.85,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
70,49.05,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
71,20.4,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
72,111.6,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0
73,24.25,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
74,64.5,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
75,110.5,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
76,55.65,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
77,54.65,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
78,74.75,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
79,25.9,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
80,79.35,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
81,50.55,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
82,75.15,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
83,103.8,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
84,20.15,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
85,99.3,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
86,62.15,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
87,20.65,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
88,19.95,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
89,33.75,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
90,82.05,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
91,74.7,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
92,84.0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
93,111.05,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
94,100.9,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
95,78.95,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
96,66.85,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
97,21.05,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
98,21.0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
99,98.5,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
100,20.2,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
101,19.45,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
102,95.0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
103,45.55,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
